Provider,NumClaims,NumUniqueBeneficiaries,TotalReimbursed,AvgClaimAmount,AvgClaimDuration,AvgHospitalDuration,AvgAge,AdmissionRate,NumInpatientClaims,NumOutpatientClaims,PotentialFraud,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,InpatientShare,OutpatientShare
PRV51001,25,24,104640,4185.6,2.44,1.0,77.88,0.2,5,20,No,1.4,1.24,1.32,1.8,1.6,1.64,1.16,1.08,1.76,1.68,1.76,0.2,0.8
PRV51003,132,117,605670,4588.409090909091,4.674242424242424,2.4242424242424243,69.10606060606061,0.4696969696969697,62,70,Yes,1.5757575757575757,1.393939393939394,1.5151515151515151,1.9242424242424243,1.6893939393939394,1.5909090909090908,1.2424242424242424,1.1515151515151516,1.75,1.7121212121212122,1.9090909090909092,0.4696969696969697,0.5303030303030303
PRV51004,149,138,52170,350.13422818791946,2.4295302013422817,0.0,71.30201342281879,0.0,0,149,No,1.570469798657718,1.4093959731543624,1.6644295302013423,1.8926174496644295,1.7248322147651007,1.5771812080536913,1.2953020134228188,1.2751677852348993,1.6711409395973154,1.691275167785235,1.8859060402684564,0.0,1.0
PRV51005,1165,495,280910,241.1244635193133,2.088412017167382,0.0,69.56738197424893,0.0,0,1165,Yes,1.6343347639484977,1.4163090128755365,1.5648068669527897,1.8583690987124464,1.7467811158798283,1.5836909871244635,1.3141630901287553,1.2317596566523605,1.7047210300429185,1.7158798283261802,1.8935622317596565,0.0,1.0
PRV51007,72,58,33710,468.19444444444446,1.9583333333333333,0.2222222222222222,68.375,0.041666666666666664,3,69,No,1.6388888888888888,1.4444444444444444,1.6944444444444444,1.8333333333333333,1.7777777777777777,1.5972222222222223,1.3194444444444444,1.2916666666666667,1.7083333333333333,1.6944444444444444,1.8333333333333333,0.041666666666666664,0.9583333333333334
PRV51008,43,36,35630,828.6046511627907,2.5348837209302326,0.18604651162790697,74.65116279069767,0.046511627906976744,2,41,No,1.6046511627906976,1.4186046511627908,1.6744186046511629,1.7906976744186047,1.7906976744186047,1.7209302325581395,1.302325581395349,1.2325581395348837,1.744186046511628,1.8604651162790697,1.9534883720930232,0.046511627906976744,0.9534883720930233
PRV51011,58,53,16630,286.7241379310345,1.5517241379310345,0.08620689655172414,73.46551724137932,0.017241379310344827,1,57,No,1.5689655172413792,1.3620689655172413,1.5689655172413792,1.9310344827586208,1.6379310344827587,1.4655172413793103,1.293103448275862,1.2413793103448276,1.6551724137931034,1.7241379310344827,1.9655172413793103,0.017241379310344827,0.9827586206896551
PRV51012,48,31,16890,351.875,4.708333333333333,0.0,73.5625,0.0,0,48,No,1.625,1.4583333333333333,1.5416666666666667,1.875,1.5625,1.6041666666666667,1.2708333333333333,1.2083333333333333,1.6458333333333333,1.6458333333333333,1.9375,0.0,1.0
PRV51013,46,44,14880,323.4782608695652,2.4565217391304346,0.0,73.47826086956522,0.0,0,46,No,1.6304347826086956,1.434782608695652,1.5869565217391304,1.9130434782608696,1.6521739130434783,1.608695652173913,1.1956521739130435,1.2173913043478262,1.7391304347826086,1.6521739130434783,1.9565217391304348,0.0,1.0
PRV51014,30,25,10480,349.3333333333333,1.4666666666666666,0.0,70.23333333333333,0.0,0,30,No,1.4666666666666666,1.4333333333333333,1.4666666666666666,1.9333333333333333,1.7,1.6666666666666667,1.3666666666666667,1.3333333333333333,1.8,1.6,1.9,0.0,1.0
PRV51015,8,7,700,87.5,1.375,0.0,71.125,0.0,0,8,No,1.5,1.125,1.5,1.625,1.5,1.125,1.0,1.125,1.625,1.625,1.875,0.0,1.0
PRV51016,6,6,170,28.333333333333332,1.3333333333333333,0.0,69.83333333333333,0.0,0,6,No,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.5,1.6666666666666667,1.6666666666666667,1.1666666666666667,1.1666666666666667,1.6666666666666667,1.5,1.8333333333333333,0.0,1.0
PRV51017,515,420,142720,277.126213592233,2.3572815533980584,0.0,71.71456310679612,0.0,0,515,No,1.5805825242718448,1.429126213592233,1.5825242718446602,1.887378640776699,1.69126213592233,1.5922330097087378,1.3184466019417476,1.250485436893204,1.6427184466019418,1.7514563106796117,1.90873786407767,0.0,1.0
PRV51021,257,208,348830,1357.3151750972763,3.0,0.5369649805447471,72.1556420233463,0.11284046692607004,29,228,Yes,1.6342412451361867,1.4357976653696498,1.5252918287937742,1.7665369649805447,1.5992217898832686,1.54863813229572,1.245136186770428,1.2373540856031129,1.727626459143969,1.6692607003891051,1.894941634241245,0.11284046692607004,0.8871595330739299
PRV51023,36,35,65610,1822.5,4.666666666666667,0.8888888888888888,72.36111111111111,0.25,9,27,No,1.5555555555555556,1.4166666666666667,1.5555555555555556,1.8611111111111112,1.7222222222222223,1.5555555555555556,1.4166666666666667,1.1666666666666667,1.75,1.7777777777777777,1.8611111111111112,0.25,0.75
PRV51024,39,38,64050,1642.3076923076924,2.641025641025641,1.0,67.76923076923077,0.23076923076923078,9,30,No,1.6153846153846154,1.4615384615384615,1.4102564102564104,1.8717948717948718,1.641025641025641,1.5897435897435896,1.2307692307692308,1.2564102564102564,1.7179487179487178,1.641025641025641,1.8461538461538463,0.23076923076923078,0.7692307692307693
PRV51025,87,76,118350,1360.344827586207,3.1724137931034484,1.0459770114942528,73.11494252873563,0.14942528735632185,13,74,No,1.6781609195402298,1.4597701149425288,1.5402298850574712,1.8505747126436782,1.6781609195402298,1.528735632183908,1.264367816091954,1.2873563218390804,1.6436781609195403,1.7011494252873562,1.9310344827586208,0.14942528735632185,0.8505747126436781
PRV51026,76,56,19840,261.05263157894734,2.0921052631578947,0.0,69.15789473684211,0.0,0,76,No,1.605263157894737,1.5657894736842106,1.605263157894737,1.855263157894737,1.8026315789473684,1.486842105263158,1.263157894736842,1.3421052631578947,1.7763157894736843,1.6973684210526316,1.9210526315789473,0.0,1.0
PRV51027,53,44,29840,563.0188679245283,3.1320754716981134,0.0,72.52830188679245,0.0,0,53,No,1.5660377358490567,1.320754716981132,1.490566037735849,1.830188679245283,1.6981132075471699,1.4339622641509433,1.2264150943396226,1.1886792452830188,1.8113207547169812,1.7547169811320755,1.849056603773585,0.0,1.0
PRV51029,93,79,30660,329.6774193548387,1.6989247311827957,0.0,70.48387096774194,0.0,0,93,No,1.6559139784946237,1.5161290322580645,1.6451612903225807,1.903225806451613,1.6881720430107527,1.6774193548387097,1.3333333333333333,1.2903225806451613,1.8172043010752688,1.6989247311827957,1.8602150537634408,0.0,1.0
PRV51030,171,145,739760,4326.081871345029,4.1988304093567255,2.216374269005848,71.45029239766082,0.47953216374269003,82,89,No,1.5730994152046784,1.3508771929824561,1.5263157894736843,1.8245614035087718,1.6198830409356726,1.5555555555555556,1.2690058479532165,1.1929824561403508,1.719298245614035,1.654970760233918,1.9239766081871346,0.47953216374269003,0.52046783625731
PRV51031,185,157,359720,1944.4324324324325,3.0,0.8378378378378378,72.2054054054054,0.15135135135135136,28,157,No,1.5135135135135136,1.308108108108108,1.518918918918919,1.8972972972972972,1.6162162162162161,1.5621621621621622,1.2972972972972974,1.1837837837837837,1.5405405405405406,1.7081081081081082,1.8972972972972972,0.15135135135135136,0.8486486486486486
